INFO:root:File download successful
INFO:root:Creating folder
INFO:root:Bhavdata file copied from the dowloads folder
INFO:root:Create record 0 :Symbol-20MICRONS, Date-2020-11-25, Series-EQ
INFO:root:Create record 1 :Symbol-21STCENMGM, Date-2020-11-25, Series-EQ
INFO:root:Create record 2 :Symbol-3IINFOTECH, Date-2020-11-25, Series-EQ
INFO:root:Create record 3 :Symbol-3MINDIA, Date-2020-11-25, Series-EQ
INFO:root:Create record 4 :Symbol-3PLAND, Date-2020-11-25, Series-EQ
INFO:root:Create record 5 :Symbol-5PAISA, Date-2020-11-25, Series-EQ
INFO:root:Create record 6 :Symbol-63MOONS, Date-2020-11-25, Series-EQ
INFO:root:Create record 7 :Symbol-700GS2021, Date-2020-11-25, Series-GS
INFO:root:Create record 8 :Symbol-719GS2060, Date-2020-11-25, Series-GS
INFO:root:Create record 9 :Symbol-763GS2059, Date-2020-11-25, Series-GS
INFO:root:Create record 10 :Symbol-772GS2049, Date-2020-11-25, Series-GS
INFO:root:Create record 11 :Symbol-8KMILES, Date-2020-11-25, Series-BE
INFO:root:Create record 12 :Symbol-A2ZINFRA, Date-2020-11-25, Series-EQ
INFO:root:Create record 13 :Symbol-AAATECH, Date-2020-11-25, Series-SM
INFO:root:Create record 14 :Symbol-AAKASH, Date-2020-11-25, Series-EQ
INFO:root:Create record 15 :Symbol-AARON, Date-2020-11-25, Series-EQ
INFO:root:Create record 16 :Symbol-AARTIDRUGS, Date-2020-11-25, Series-EQ
INFO:root:Create record 17 :Symbol-AARTIIND, Date-2020-11-25, Series-EQ
INFO:root:Create record 18 :Symbol-AARTISURF, Date-2020-11-25, Series-EQ
INFO:root:Create record 19 :Symbol-AARVEEDEN, Date-2020-11-25, Series-EQ
INFO:root:Create record 20 :Symbol-AARVI, Date-2020-11-25, Series-EQ
INFO:root:Create record 21 :Symbol-AAVAS, Date-2020-11-25, Series-EQ
INFO:root:Create record 22 :Symbol-ABAN, Date-2020-11-25, Series-EQ
INFO:root:Create record 23 :Symbol-ABB, Date-2020-11-25, Series-EQ
INFO:root:Create record 24 :Symbol-ABBOTINDIA, Date-2020-11-25, Series-EQ
INFO:root:Create record 25 :Symbol-ABCAPITAL, Date-2020-11-25, Series-EQ
INFO:root:Create record 26 :Symbol-ABFRL, Date-2020-11-25, Series-EQ
INFO:root:Create record 27 :Symbol-ABFRLPP, Date-2020-11-25, Series-E1
INFO:root:Create record 28 :Symbol-ABINFRA, Date-2020-11-25, Series-SM
INFO:root:Create record 29 :Symbol-ABMINTLTD, Date-2020-11-25, Series-BE
INFO:root:Create record 30 :Symbol-ABSLBANETF, Date-2020-11-25, Series-EQ
INFO:root:Create record 31 :Symbol-ABSLNN50ET, Date-2020-11-25, Series-EQ
INFO:root:Create record 32 :Symbol-ABSLRIF6RG, Date-2020-11-25, Series-MF
INFO:root:Create record 33 :Symbol-ACC, Date-2020-11-25, Series-EQ
INFO:root:Create record 34 :Symbol-ACCELYA, Date-2020-11-25, Series-EQ
INFO:root:Create record 35 :Symbol-ACCURACY, Date-2020-11-25, Series-SM
INFO:root:Create record 36 :Symbol-ACE, Date-2020-11-25, Series-EQ
INFO:root:Create record 37 :Symbol-ADANIENT, Date-2020-11-25, Series-EQ
INFO:root:Create record 38 :Symbol-ADANIGAS, Date-2020-11-25, Series-EQ
INFO:root:Create record 39 :Symbol-ADANIGREEN, Date-2020-11-25, Series-EQ
INFO:root:Create record 40 :Symbol-ADANIPORTS, Date-2020-11-25, Series-EQ
INFO:root:Create record 41 :Symbol-ADANIPOWER, Date-2020-11-25, Series-EQ
INFO:root:Create record 42 :Symbol-ADANITRANS, Date-2020-11-25, Series-EQ
INFO:root:Create record 43 :Symbol-ADFFOODS, Date-2020-11-25, Series-EQ
INFO:root:Create record 44 :Symbol-ADHUNIKIND, Date-2020-11-25, Series-EQ
INFO:root:Create record 45 :Symbol-ADL, Date-2020-11-25, Series-BE
INFO:root:Create record 46 :Symbol-ADORWELD, Date-2020-11-25, Series-EQ
INFO:root:Create record 47 :Symbol-ADROITINFO, Date-2020-11-25, Series-BE
INFO:root:Create record 48 :Symbol-ADSL, Date-2020-11-25, Series-EQ
INFO:root:Create record 49 :Symbol-ADVANIHOTR, Date-2020-11-25, Series-EQ
INFO:root:Create record 50 :Symbol-ADVENZYMES, Date-2020-11-25, Series-EQ
INFO:root:Create record 51 :Symbol-AEGISCHEM, Date-2020-11-25, Series-EQ
INFO:root:Create record 52 :Symbol-AFFLE, Date-2020-11-25, Series-EQ
INFO:root:Create record 53 :Symbol-AGARIND, Date-2020-11-25, Series-EQ
INFO:root:Create record 54 :Symbol-AGCNET, Date-2020-11-25, Series-BE
INFO:root:Create record 55 :Symbol-AGRITECH, Date-2020-11-25, Series-EQ
INFO:root:Create record 56 :Symbol-AGROPHOS, Date-2020-11-25, Series-EQ
INFO:root:Create record 57 :Symbol-AHLEAST, Date-2020-11-25, Series-EQ
INFO:root:Create record 58 :Symbol-AHLUCONT, Date-2020-11-25, Series-EQ
INFO:root:Create record 59 :Symbol-AHLWEST, Date-2020-11-25, Series-EQ
INFO:root:Create record 60 :Symbol-AIAENG, Date-2020-11-25, Series-EQ
INFO:root:Create record 61 :Symbol-AIRAN, Date-2020-11-25, Series-EQ
INFO:root:Create record 62 :Symbol-AISL, Date-2020-11-25, Series-SM
INFO:root:Create record 63 :Symbol-AJANTPHARM, Date-2020-11-25, Series-EQ
INFO:root:Create record 64 :Symbol-AJMERA, Date-2020-11-25, Series-EQ
INFO:root:Create record 65 :Symbol-AKASH, Date-2020-11-25, Series-EQ
INFO:root:Create record 66 :Symbol-AKSHARCHEM, Date-2020-11-25, Series-EQ
INFO:root:Create record 67 :Symbol-AKSHOPTFBR, Date-2020-11-25, Series-EQ
INFO:root:Create record 68 :Symbol-AKZOINDIA, Date-2020-11-25, Series-EQ
INFO:root:Create record 69 :Symbol-ALANKIT, Date-2020-11-25, Series-EQ
INFO:root:Create record 70 :Symbol-ALBERTDAVD, Date-2020-11-25, Series-EQ
INFO:root:Create record 71 :Symbol-ALCHEM, Date-2020-11-25, Series-EQ
INFO:root:Create record 72 :Symbol-ALEMBICLTD, Date-2020-11-25, Series-EQ
INFO:root:Create record 73 :Symbol-ALICON, Date-2020-11-25, Series-EQ
INFO:root:Create record 74 :Symbol-ALKALI, Date-2020-11-25, Series-EQ
INFO:root:Create record 75 :Symbol-ALKEM, Date-2020-11-25, Series-EQ
INFO:root:Create record 76 :Symbol-ALKYLAMINE, Date-2020-11-25, Series-EQ
INFO:root:Create record 77 :Symbol-ALLCARGO, Date-2020-11-25, Series-EQ
INFO:root:Create record 78 :Symbol-ALLSEC, Date-2020-11-25, Series-EQ
INFO:root:Create record 79 :Symbol-ALMONDZ, Date-2020-11-25, Series-EQ
INFO:root:Create record 80 :Symbol-ALOKINDS, Date-2020-11-25, Series-EQ
INFO:root:Create record 81 :Symbol-ALPA, Date-2020-11-25, Series-BE
INFO:root:Create record 82 :Symbol-ALPHAGEO, Date-2020-11-25, Series-EQ
INFO:root:Create record 83 :Symbol-AMARAJABAT, Date-2020-11-25, Series-EQ
INFO:root:Create record 84 :Symbol-AMBER, Date-2020-11-25, Series-EQ
INFO:root:Create record 85 :Symbol-AMBIKCO, Date-2020-11-25, Series-EQ
INFO:root:Create record 86 :Symbol-AMBUJACEM, Date-2020-11-25, Series-EQ
INFO:root:Create record 87 :Symbol-AMDIND, Date-2020-11-25, Series-EQ
